91753
48893	1066	44032
44942	10	26063
34967	68	25798
50171	1066	52912
39804	74	51630
42911	88	15632
56034	1254	448
53427	1085	11467
44839	1085	4721
40467	476	10703
57017	1085	22676
31851	1066	36802
55874	1254	6266
51513	528	51765
59441	658	30899
33118	1066	51710
46676	795	16386
31049	1066	32570
55250	396	17565
35546	1066	52593
34122	1254	17776
57355	144	16091
53126	1085	18097
40996	1066	37457
41162	1254	7298
41018	1254	1169
34361	1254	13619
33242	1066	46688
31283	858	52049
58019	1254	17482
56434	1066	35857
53994	1085	26346
37988	1192	44861
56974	1066	44946
55999	1254	5502
34755	1085	11738
30106	1192	37913
39272	476	19874
36247	74	41059
35803	1066	47057
49673	82	17875
31435	476	26886
33094	858	25909
54945	1254	1569
54016	739	30602
47927	1120	19861
57018	1085	7288
47805	1254	8955
34441	658	36656
35212	476	4332
50356	1254	10893
48451	1254	14172
44964	1085	18028
58801	1254	3777
50101	1085	213
35552	1085	26886
55530	476	16369
41343	396	29439
33903	858	58334
56366	476	4688
36914	1085	6205
41014	1254	14152
33363	453	29082
30177	1085	2741
58244	1085	9126
37126	858	1861
38585	398	28167
34674	1085	7709
38528	1066	30832
33366	818	35079
54957	1066	51423
46777	616	56518
